"","variable","hh_water","mean","sd","median","IQR"
"1","num_lt5",0,0.734793187347932,0.729337249136408,1,1
"2","num_lt5",1,0.705627705627706,0.834012522017046,1,1
"3","num_HH",0,4.4720194647202,2.02088378628484,4,2
"4","num_HH",1,5.66666666666667,2.74205043347312,5,3
"5","months_in_hh",0,56.9731707317073,75.2471186344203,24,60
"6","months_in_hh",1,86.9565217391304,103.949256289044,36,120
"7","HFIAS_score",0,10.3990267639903,7.12613869560774,10,12
"8","HFIAS_score",1,9.43290043290043,6.6472321656428,9,12
"9","avail_hr",0,12.7031630170316,5.95466324498419,11,6
"10","avail_hr",1,12.6753246753247,5.44643854540839,12,5.5
