"","Outcome_Variable","Coefficient","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"combined_intervention2","E. coli in source water","combined_intervention2",0.825754863348848,0.137297082153479,0.641467540337943,1.0629861239511,0.128846617714927
"combined_intervention3","E. coli in source water","combined_intervention3",0.82024649251996,0.312590881858331,0.558357517161571,1.20497044959924,0.19622725854532
"combined_intervention4","E. coli in source water","combined_intervention4",0.672343216684684,0.00767025484766681,0.502169864429163,0.900184246491507,0.14889311808257
"combined_intervention21","E. coli in stored water","combined_intervention2",0.889534758706699,0.0666756499416243,0.784926335570132,1.00808451836776,0.0638309743271057
"combined_intervention31","E. coli in stored water","combined_intervention3",0.935726631991854,0.263667269505074,0.832834638319155,1.05133034762572,0.0594327882367279
"combined_intervention41","E. coli in stored water","combined_intervention4",0.906420719493885,0.173013980229955,0.78695725584671,1.0440192458024,0.0721069563217044
"combined_intervention22","Sufficient quantities of water when needed","combined_intervention2",0.98431151241535,0.472023369856423,0.942794075694381,1.0276572354995,0.0219870088280814
"combined_intervention32","Sufficient quantities of water when needed","combined_intervention3",1.02762652284045,0.0778120182928885,0.996968467828701,1.0592273522402,0.0154530270228822
"combined_intervention42","Sufficient quantities of water when needed","combined_intervention4",1.01281370335945,0.630592330447911,0.961595537664237,1.06675993963572,0.0264763562416499
"combined_intervention23","Water insecure","combined_intervention2",1.43373069765102,0.057805773569408,0.988138845029801,2.08025797561363,0.189904074607416
"combined_intervention33","Water insecure","combined_intervention3",1.50529861168159,0.000499755307478811,1.1956603264853,1.89512343943978,0.117496267531594
"combined_intervention43","Water insecure","combined_intervention4",1.83880762411347,0.00193200895299572,1.25114461000704,2.70249613949807,0.196458423904087
"combined_intervention24","Satisfied with water service","combined_intervention2",1.53841196184583,5.24849112393255e-07,1.30013556133062,1.82035738021667,0.085858241732377
"combined_intervention34","Satisfied with water service","combined_intervention3",1.44890588485234,2.55073018262664e-08,1.27165767706289,1.65085958353863,0.0665752053796452
"combined_intervention44","Satisfied with water service","combined_intervention4",1.71878389036773,1.79449788362263e-11,1.46768817313752,2.01283768300206,0.0805757697757734
"combined_intervention25","Satisfied with water affordability","combined_intervention2",1.25483321781612,0.00353221415457505,1.07732732875378,1.4615858732148,0.077816015900338
"combined_intervention35","Satisfied with water affordability","combined_intervention3",1.45087444850018,3.36088024077696e-09,1.2824877068197,1.6413698580634,0.0629411887245814
"combined_intervention45","Satisfied with water affordability","combined_intervention4",1.55664499786914,3.71134234455894e-11,1.36535615267109,1.77473375327788,0.066896709492768
"combined_intervention26","Satisfied with water availability","combined_intervention2",1.18104628254207,0.0459217412532433,1.00301491332467,1.39067754923293,0.0833624225212193
"combined_intervention36","Satisfied with water availability","combined_intervention3",1.19298802545514,0.0100890468227024,1.0429239482697,1.36464449899784,0.0685881881096717
"combined_intervention46","Satisfied with water availability","combined_intervention4",1.34554556832405,8.33319500614937e-05,1.16061589886281,1.55994147435894,0.0754330338290696
"combined_intervention27","Satisfied with water pressure","combined_intervention2",1.12957590827462,0.0828895278360191,0.984257759595639,1.29634917288194,0.0702600639251361
"combined_intervention37","Satisfied with water pressure","combined_intervention3",1.17061380840908,0.0110076982421135,1.03674744779655,1.32176519107953,0.0619591201064293
"combined_intervention47","Satisfied with water pressure","combined_intervention4",1.31247927082438,5.36856623423176e-05,1.15023217542632,1.49761228484608,0.0673235245043188
"combined_intervention28","Satisfied with water color and appearance","combined_intervention2",1.15525908739366,0.232635428515023,0.911494192031038,1.46421509942016,0.120915660036764
"combined_intervention38","Satisfied with water color and appearance","combined_intervention3",1.23250636132315,0.0176531159807578,1.03703928828256,1.46481618186112,0.0881020271560875
"combined_intervention48","Satisfied with water color and appearance","combined_intervention4",1.25322997416021,0.0708060289212786,0.981031954979496,1.6009523035021,0.124935940801895
"combined_intervention29","Satisfied with water taste and smell","combined_intervention2",1.0890151212097,0.311662920136747,0.923186922269187,1.28463034475001,0.0842843256348831
"combined_intervention39","Satisfied with water taste and smell","combined_intervention3",1.06227954724928,0.331473446732294,0.940335802497963,1.20003708622651,0.0622119113053889
"combined_intervention49","Satisfied with water taste and smell","combined_intervention4",1.07276828875282,0.396456832566663,0.91199850912856,1.26187903799679,0.0828364371719131
"combined_intervention210",">= 80 L/day of water use (respondent)","combined_intervention2",1.13657704381057,0.103107605652319,0.974411945791709,1.3257302336001,0.0785419769869602
"combined_intervention310",">= 80 L/day of water use (respondent)","combined_intervention3",1.3398967220476,3.57256351679602e-06,1.18395337312755,1.51638000828644,0.0631292770468358
"combined_intervention410",">= 80 L/day of water use (respondent)","combined_intervention4",1.39921811073734,1.18485631239729e-06,1.22188013899733,1.60229408673584,0.0691442950326774
"combined_intervention211","Access to at least basic water source","combined_intervention2",1.11030944364278,0.0287287685216502,1.01092835921921,1.2194603597771,0.0478416726062644
"combined_intervention311","Access to at least basic water source","combined_intervention3",1.11739875920883,0.00549944221001697,1.0331739402932,1.20848962443545,0.0399836163364215
"combined_intervention411","Access to at least basic water source","combined_intervention4",1.14328065126623,0.00400400299570647,1.04363103834754,1.25244516455676,0.0465285093811472
"combined_intervention212","Access to water on the premises","combined_intervention2",1.62439024390245,0.032679769172347,1.0407822113287,2.53525054114526,0.227122425569585
"combined_intervention312","Access to water on the premises","combined_intervention3",5.07022900763362,0,3.49386268540871,7.35782270356803,0.189988813731579
"combined_intervention412","Access to water on the premises","combined_intervention4",5.28315301391039,0,3.63209925626472,7.68473100514743,0.191179741112835
